2	775	3
198	3141	9
284	1418	3
604	663	1
1325	464	2
189	338	8
495	557	16
2211	5415	0
600	50	1
1416	6478	4
3760	692	3
112	2219	1
745	2817	7
271	119	12
1906	386	2
5448	1577	3
76	831	13
257	434	6
1915	516	13
1538	558	4
2399	689	4
712	1074	2
198	148	5
1032	5364	2
696	2242	0
5	302	3
311	1578	14
210	89	7
14	2134	0
620	939	2
53	304	14
1201	1141	2
1185	150	2
927	2188	1
983	270	9
333	585	3
1751	1361	0
873	795	5
3232	901	5
1779	273	1
171	662	9
903	143	7
681	215	3
94	2666	0
953	27	0
535	974	17
4837	486	3
336	3453	3
744	304	6
22	3771	13
722	438	9
265	678	7
15	162	7
1612	310	4
3150	1332	3
358	753	2
3051	338	1
728	204	2
685	3540	2
202	147	4
1271	1309	1
6	77	8
467	3021	4
1944	3994	2
1865	139	11
1036	265	11
136	5	4
653	449	6
3573	4060	3
399	1252	16
2402	946	0
582	1584	2
728	1633	1
3117	2348	3
833	2965	19
1232	15	2
1057	957	5
6542	498	10
707	101	2
716	350	7
2635	533	0
515	225	3
639	337	2
432	1992	6
454	1326	3
125	1478	4
815	1170	10
677	570	3
1072	85	0
770	3544	2
3603	715	1
290	892	1
530	98	10
335	895	6
581	1225	0
150	558	5
40	1617	1
555	222	9
435	410	2
1302	3230	3
1120	450	2
91	702	6
340	14	19
595	850	0
259	497	9
743	195	8
994	371	11
1675	2	6
34	1483	2
911	1289	9
1782	2051	2
26	639	0
345	575	0
151	150	3
1677	2349	13
916	511	8
406	862	1
107	434	0
194	780	1
150	126	1
1851	705	5
1489	222	7
896	459	6
327	359	13
10	1120	14
1109	1970	3
90	168	5
1944	2003	9
891	1789	9
1358	1442	2
1383	92	15
973	4766	5
1731	2376	10
528	1305	17
685	352	3
307	518	1
377	217	5
61	1205	1
1034	3074	4
66	401	3
993	2116	1
1985	904	1
2724	2803	1
2077	2036	2
690	1145	3
1019	1281	33
611	904	3
27	908	12
388	495	3
817	5568	1
5121	1147	8
15	1393	3
3575	327	4
1069	583	5
1386	6059	1
396	631	3
83	53	1
1338	1863	7
611	1954	3
913	2785	18
321	1194	1
2280	73	3
1494	1075	1
292	1646	8
1653	1600	1
581	30	2
1535	805	0
133	147	7
3311	1424	1
577	425	4
363	581	5
136	698	4
95	6597	15
6	74	3
1274	4021	6
2682	76	4
1339	292	2
1993	698	14
420	4055	1
1984	387	5
2740	4500	7
1195	138	2
213	414	13
197	3049	4
84	1126	7
773	501	1
319	3172	17
106	1038	10
554	2325	0
315	195	7
10	2509	1
1852	1890	0
1552	4622	0
666	315	11
1862	4	3
3609	85	9
58	580	18
748	666	1
27	2797	2
2789	2630	15
601	95	5
3571	734	3
210	729	9
611	468	7
413	2564	4
1811	388	4
272	230	1
2519	3204	11
683	496	3
1082	2193	6
1919	1006	5
261	1	4
716	1841	23
1690	510	3
1060	1137	3
619	1824	0
1567	938	0
150	2366	1
189	515	2
1265	80	14
759	660	12
70	1370	5
1053	4714	0
372	15	9
1620	1521	0
2532	1070	4
2426	248	1
1182	546	16
1234	304	2
99	1465	6
1633	1704	1
586	3629	3
1236	154	2
1016	851	4
458	340	15
94	34	5
1604	644	6
498	2366	1
329	3785	4
73	844	5
1358	97	2
1590	777	1
444	1299	1
640	339	2
35	686	1
687	579	3
819	233	10
578	177	4
233	4323	1
422	358	3
1702	272	3
270	390	4
749	739	1
138	1506	9
1900	2144	5
1215	507	2
65	669	11
1563	341	0
1920	701	1
289	697	2
1193	1170	1
27	4292	15
360	6262	4
730	1827	4
423	3201	5
1248	327	0
439	535	6
878	3782	1
56	3538	4
2076	1650	14
1127	356	5
364	120	1
608	1308	6
720	1751	9
2509	132	1
382	88	13
935	251	17
1484	1461	2
3372	618	1
188	1152	2
115	282	3
1025	239	2
1711	1833	13
514	1675	11
1496	418	3
382	20	1
514	171	6
1260	3324	1
159	559	6
712	1865	1
2376	633	1
301	1188	1
627	1875	11
395	1435	1
230	994	11
3396	5451	1
619	466	4
104	1051	2
699	633	10
28	1224	1
631	162	8
1811	503	6
334	1131	2
1674	1206	1
89	206	20
1690	529	2
37	1359	0
841	374	4
324	449	1
542	1616	1
463	1049	2
960	320	16
1565	1083	4
1176	348	9
1673	168	3
445	313	5
1063	1083	15
287	411	2
104	1427	1
386	969	25
212	2949	1
1884	3100	5
792	421	2
159	50	7
2583	1216	2
712	115	3
1314	1437	0
1689	1320	2
388	33	10
366	29	3
895	552	1
868	89	6
104	64	0
67	1979	5
1548	13	4
40	508	12
163	345	2
322	873	3
302	426	8
1746	879	4
1364	669	8
