59	30	18
57	26	7
69	38	9
62	41	14
42	35	10
48	27	10
56	30	9
56	27	14
48	26	4
63	30	7
60	32	6
65	33	12
46	28	12
53	29	11
71	39	12
54	25	9
71	39	14
48	25	12
65	33	7
50	22	10
51	23	13
60	27	18
69	36	15
52	37	10
78	26	13
55	31	12
63	40	10
61	22	10
56	25	14
54	39	10
57	25	12
63	39	16
57	21	13
58	16	16
51	36	10
64	40	7
51	30	11
57	16	11
58	28	9
50	33	15
54	22	9
58	36	8
63	24	15
61	26	12
60	35	10
56	31	5
48	28	16
59	27	16
49	33	11
67	36	16
59	35	10
58	36	8
61	30	9
53	31	13
52	29	6
59	30	20
61	29	14
46	35	14
62	29	10
56	36	5
54	24	8
63	31	8
59	28	13
52	34	12
60	29	11
57	28	9
61	23	17
57	31	9
45	32	10
47	27	14
52	39	14
38	38	10
49	24	5
66	31	10
50	22	14
73	30	16
67	31	10
52	31	8
63	40	12
78	23	7
48	28	13
58	27	21
67	32	10
62	28	13
65	35	10
55	35	7
45	36	11
58	35	9
48	30	9
61	36	11
76	32	11
59	19	14
65	29	14
63	38	8
41	22	13
63	26	8
64	38	6
51	31	8
65	25	8
56	23	13
