4	2	3	12
1	99	1	65
1	30	11	9
0	6	2	87
5	50	1	166
2	4	1	18
2	36	0	108
0	33	1	10
7	7	1	16
6	33	3	20
0	4	0	33
2	26	0	54
4	63	2	4
2	39	1	2
0	17	1	47
6	80	2	20
0	49	1	2
3	35	1	0
2	5	2	139
0	16	2	21
1	12	0	14
2	12	2	5
3	80	0	10
3	18	3	59
1	5	3	12
6	27	0	45
0	39	1	14
1	3	1	7
1	24	3	8
1	4	1	34
2	40	0	11
6	95	11	13
1	34	4	42
2	7	1	4
2	17	1	16
0	3	1	46
7	13	1	8
1	90	2	89
3	6	0	30
4	71	1	0
3	30	9	13
0	26	5	18
0	23	3	14
6	19	2	16
3	21	4	28
0	16	2	7
1	1	1	16
0	25	1	23
4	18	4	36
2	21	1	38
1	46	2	2
1	33	4	12
4	35	2	16
2	116	1	4
0	13	0	18
3	2	0	15
3	1	1	30
2	24	3	5
8	0	2	0
4	127	2	8
5	29	1	13
1	10	6	25
0	9	6	26
2	23	0	51
2	4	1	108
0	10	4	65
2	23	0	102
0	5	2	12
3	70	0	23
0	19	2	30
0	4	1	50
5	44	1	60
1	83	1	19
1	10	1	59
0	32	1	11
3	9	3	14
0	22	0	14
1	13	0	57
3	27	1	10
4	39	2	0
9	10	0	48
0	156	1	1
2	5	2	12
1	12	1	11
1	1	1	140
2	17	4	29
2	46	0	25
0	31	2	8
4	56	1	55
2	9	2	21
1	1	1	28
1	102	4	83
2	4	1	25
0	12	1	4
3	15	0	19
4	18	4	120
0	3	2	26
2	7	0	69
1	11	2	62
3	32	1	10
2	12	1	41
1	46	4	13
1	68	10	69
10	10	1	56
2	14	1	24
4	92	1	47
2	99	1	36
7	0	0	15
1	32	2	34
1	0	2	162
0	82	5	14
1	12	0	20
5	6	6	65
1	2	1	31
0	2	3	14
3	81	1	41
0	4	0	32
2	34	3	39
1	7	3	50
3	15	1	18
1	27	2	10
1	15	5	6
1	47	2	43
3	106	2	62
1	13	5	21
1	142	0	23
7	16	1	81
0	63	1	8
1	100	4	2
8	111	1	8
5	16	3	55
2	32	2	50
5	4	1	16
1	28	6	5
2	3	0	61
0	19	1	9
0	13	0	86
1	28	1	14
0	74	1	27
1	7	3	16
1	25	2	2
3	22	2	27
0	20	1	9
4	72	2	80
1	65	2	36
1	2	3	80
9	59	3	49
1	44	0	12
0	47	1	28
1	18	0	14
2	28	0	18
4	42	0	59
0	69	0	35
1	107	3	92
7	4	5	13
0	24	0	48
6	12	0	2
0	19	5	13
7	16	3	20
4	11	0	2
6	11	0	59
1	1	1	20
1	68	1	5
3	4	0	72
1	10	1	27
0	27	1	18
1	26	7	16
11	43	0	11
3	31	0	46
5	15	0	18
4	1	2	50
2	22	1	51
2	19	11	1
3	77	0	26
1	50	1	58
5	40	0	35
4	79	1	1
1	1	5	32
2	23	2	2
2	4	1	18
2	36	1	71
0	21	5	33
1	24	3	26
3	16	3	24
3	37	2	26
0	45	1	72
3	0	7	46
1	61	4	16
3	28	1	2
2	40	2	52
0	14	1	34
0	3	4	86
2	1	2	67
2	2	1	36
1	12	2	6
2	42	1	10
4	8	1	44
0	10	1	5
2	18	1	8
3	18	1	15
6	18	1	18
3	46	2	14
1	2	2	48
6	37	8	21
1	7	0	21
0	7	4	62
4	180	0	4
0	32	2	39
1	2	3	0
2	29	1	14
0	70	4	28
3	37	0	38
0	1	2	34
0	55	2	4
2	31	1	23
5	9	2	63
3	14	0	12
0	3	4	25
1	2	0	73
0	95	4	5
4	17	6	28
2	61	1	5
0	62	1	27
2	0	0	28
3	10	0	7
2	30	5	33
1	21	0	121
0	32	3	132
1	16	7	51
3	30	2	119
1	22	1	3
1	33	6	2
3	35	1	22
5	2	0	45
5	111	0	40
2	20	1	110
7	13	1	50
2	3	0	4
2	15	3	27
2	43	2	36
1	6	0	19
2	8	2	11
4	31	0	12
1	2	0	19
4	15	0	139
1	27	1	27
0	49	0	15
0	18	3	7
2	4	2	116
2	25	1	238
0	20	0	9
0	18	1	10
2	4	3	38
9	43	2	58
1	60	1	25
3	5	1	1
1	43	3	5
14	63	1	24
1	4	5	20
6	2	1	10
0	8	1	70
4	1	2	42
3	21	1	54
1	4	2	86
3	20	2	148
3	75	0	16
1	52	1	1
1	13	6	18
1	20	4	3
3	46	2	21
3	18	0	146
1	7	1	89
2	13	2	11
0	13	4	64
3	64	2	96
5	55	2	24
1	6	1	41
5	19	0	27
0	30	3	11
0	3	2	25
1	1	9	16
0	5	2	6
1	25	0	7
3	15	4	8
6	5	5	6
0	28	1	57
2	10	1	8
1	72	3	4
3	4	2	26
4	6	0	8
10	100	2	2
1	6	0	28
2	17	1	52
2	1	4	6
5	95	1	52
4	20	1	10
